DescriptorUI	DescriptorName	TreeNumbers
D054098	Thrombocytopenia, Neonatal Alloimmune	C15.378.140.855.850|C15.378.243.937.850|C16.614.899
D054119	Arachnodactyly	C05.660.585.174|C16.131.621.585.174
D054138	Sinus Arrest, Cardiac	C14.280.067.093.500|C23.550.073.093.500
D054139	Tachycardia, Reciprocating	C14.280.067.845.787|C14.280.123.875.787|C23.550.073.845.787
D054141	Ventricular Flutter	C14.280.067.961|C23.550.073.961
D054143	Heart Failure, Systolic	C14.280.434.676
D054144	Heart Failure, Diastolic	C14.280.434.611
D054160	Systolic Murmurs	C23.888.447.500
D054179	Angioedemas, Hereditary	C14.907.079.500|C16.320.798.500.500|C17.800.862.945.066.500|C20.543.480.904.066.500|C20.673.795.500.500
D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	C04.557.337.428.600|C15.378.508.428.600|C15.604.515.560.600|C20.683.515.528.600
D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	C04.557.337.428.600.620|C15.378.508.428.600.620|C15.604.515.560.600.620|C20.683.515.528.600.620
D054219	Neoplasms, Plasma Cell	C04.557.595
D054220	Malformations of Cortical Development	C10.500.507|C16.131.666.507
D054221	Classical Lissencephalies and Subcortical Band Heterotopias	C10.500.507.450.230|C10.500.507.450.499.230|C16.131.666.507.450.230|C16.131.666.507.450.499.230|C16.320.322.500.186
D054222	Cobblestone Lissencephaly	C10.500.507.450.499.249|C16.131.666.507.450.249|C16.131.666.507.450.499.249
D054243	Vesicular Stomatitis	C01.925.782.580.830.825|C07.465.864.968|C22.952
D054312	Buruli Ulcer	C01.150.252.410.040.552.475.247|C17.800.893.295
D054318	No-Reflow Phenomenon	C23.550.513.677
D054319	Marchiafava-Bignami Disease	C10.228.140.163.510|C10.314.475
D054331	Sertoli Cell-Only Syndrome	C12.100.500.430.754|C12.100.750.700.754|C12.200.294.430.754
D054363	Solitary Fibrous Tumor, Pleural	C04.557.450.565.590.797.750|C04.588.894.797.640.800
D054364	Solitary Fibrous Tumors	C04.557.450.565.590.797
D054391	Lymphoma, Extranodal NK-T-Cell	C04.557.386.480.750.199
D054403	Leukemia, Prolymphocytic, B-Cell	C04.557.337.428.080.562|C04.557.337.428.565.745|C15.378.508.428.080.562|C15.378.508.428.565.745|C15.604.515.560.080.562|C15.604.515.560.550.745|C20.683.515.528.080.562|C20.683.515.528.565.745
D054429	Leukemia, Myelomonocytic, Juvenile	C04.557.337.539.525|C15.378.190.615.520|C15.378.508.539.525
D054437	Myelodysplastic-Myeloproliferative Diseases	C15.378.190.615
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	C04.557.337.539.300|C15.378.190.615.500|C15.378.508.539.300|C23.550.291.500.493
D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell	C04.557.386.480.750.800.507|C15.604.515.569.480.750.800.507|C20.683.515.761.480.750.800.507
D054463	Trichothiodystrophy Syndromes	C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895
D054506	Chloracne	C17.800.030.575
D054508	Acute Radiation Syndrome	C26.733.188|G01.750.748.500.188|N06.850.460.350.850.500.158|N06.850.810.300.360.158
D054514	Persistent Hyperplastic Primary Vitreous	C11.250.616|C16.131.384.725
D054515	Vulvar Vestibulitis	C12.050.351.500.944.902.368|C12.100.250.944.902.368
D054517	Orbital Cellulitis	C11.675.387|C17.300.185.500
D054537	Atrioventricular Block	C14.280.067.558.230|C14.280.123.500.230|C23.550.073.425.062
D054546	Neuroacanthocytosis	C10.228.662.262.249.937|C16.320.400.550
D054549	Takotsubo Cardiomyopathy	C14.280.238.906|C14.280.945.900.500
D054556	Venous Thromboembolism	C14.907.355.590.700
D054559	Hyperphosphatemia	C18.452.750.199
D054685	Lymphoma, Primary Effusion	C04.557.386.480.150.592|C15.604.515.569.480.150.592|C20.683.515.761.480.150.592
D054705	Mastocytoma, Skin	C04.557.450.565.465.249.500|C04.557.450.565.465.500.500|C04.588.805.309.500|C17.800.882.356.500|C20.762.750.469.500|C20.762.750.563.500
D054739	Dendritic Cell Sarcoma, Interdigitating	C04.557.227.199|C15.604.250.390.199
D054740	Dendritic Cell Sarcoma, Follicular	C04.557.227.190|C15.604.250.390.190
D054747	Histiocytic Sarcoma	C04.557.227.380|C15.604.250.390.380
D054752	Langerhans Cell Sarcoma	C04.557.227.500|C15.604.250.390.500
D054850	Osteophyte	C05.116.540.310.800
D054853	Malignant Atrophic Papulosis	C14.907.137.520|C14.907.940.530|C17.800.862.457
D054868	Jacobsen Distal 11q Deletion Syndrome	C15.378.140.855.440|C15.378.243.937.440|C16.131.260.440|C16.320.180.440
D054877	Wolf-Hirschhorn Syndrome	C16.131.077.944|C16.131.260.985|C16.320.180.985
D054880	Aspartylglucosaminuria	C16.320.565.595.100|C18.452.648.595.100
D054882	Antley-Bixler Syndrome Phenotype	C05.116.099.370.894.115|C05.660.906.181|C16.131.621.906.181|C16.320.565.925.324|C18.452.648.925.324
D054908	Extensively Drug-Resistant Tuberculosis	C01.150.252.410.040.552.846.775.500
D054969	Primary Dysautonomias	C10.177.575
D054970	Pure Autonomic Failure	C10.177.575.650
D054971	Orthostatic Intolerance	C10.177.575.600|C23.888.592.610
D054972	Postural Orthostatic Tachycardia Syndrome	C10.177.575.600.625
D054973	Perivascular Epithelioid Cell Neoplasms	C04.557.450.692
D054975	Pallister-Hall Syndrome	C04.445.622|C04.588.614.250.195.885.500.299|C05.660.585.600.374|C10.228.140.211.885.500.299|C10.228.140.617.477.299|C10.551.240.250.700.500.249|C16.131.077.690|C16.131.621.585.600.374
D054988	Idiopathic Interstitial Pneumonias	C08.381.483.652.500.750
D054989	Nephrogenic Fibrosing Dermopathy	C17.800.553|C23.550.355.550
D054990	Idiopathic Pulmonary Fibrosis	C08.381.483.652.500
D055008	Anthracosis	C08.381.483.581.062|C08.381.520.702.062
D055009	Spondylosis	C05.116.900.938
D055010	Posterior Cervical Sympathetic Syndrome	C05.116.900.596
D055013	Osteoarthritis, Spine	C05.116.900.853.625.399|C05.550.114.606.750|C05.550.114.865.399|C05.799.613.750
D055031	Primary Graft Dysfunction	C14.907.725.675|C23.550.767.877.750
D055034	Osteochondrosis	C05.116.821
D055035	Spinal Osteochondrosis	C05.116.821.500|C05.116.900.808
D055036	Campomelic Dysplasia	C05.660.142|C16.131.621.142
D055089	Tracheobronchomalacia	C05.182.895|C08.127.719|C08.907.796|C16.131.621.953|C17.300.182.895
D055090	Tracheomalacia	C05.182.895.500|C08.907.796.500|C16.131.621.953.500|C17.300.182.895.500
D055091	Bronchomalacia	C05.182.895.249|C08.127.719.500|C16.131.621.953.249|C17.300.182.895.249
D055092	Laryngomalacia	C05.182.310|C08.360.563|C09.400.563|C16.131.621.568|C17.300.182.310
D055093	Periodontal Atrophy	C07.465.714.354
D055111	Failed Back Surgery Syndrome	C23.550.767.225|C23.888.592.612.107.200
D055112	Pyometra	C12.050.351.500.852.544|C12.100.250.852.544
D055113	Chronic Periodontitis	C07.465.714.533.324|C23.550.291.500.313
D055154	Dysphonia	C08.360.940.325|C09.400.940.325|C10.597.975.325|C23.888.592.979.325
D055191	Delayed Emergence from Anesthesia	C23.550.767.137
D055331	Adenomyoepithelioma	C04.557.435.108
D055370	Lung Injury	C08.381.520|C26.891.554
D055371	Acute Lung Injury	C08.381.520.500
D055397	Ventilator-Induced Lung Injury	C08.381.520.750
D055496	Neurogenic Bowel	C06.405.469.158.272.804
D055499	Catheter-Related Infections	C01.195
D055501	Macrophage Activation Syndrome	C20.683.515.800
D055534	Bulbo-Spinal Atrophy, X-Linked	C10.228.854.468.399|C10.574.500.175|C10.574.562.500.374|C10.668.467.500.186|C16.320.322.076|C16.320.400.100
D055535	Morgellons Disease	C17.800.518|F03.700.412
D055538	delta-Thalassemia	C15.378.050.141.150.875.575|C15.378.420.826.200|C16.320.070.875.575|C16.320.365.826.575
D055577	Farber Lipogranulomatosis	C10.228.140.163.100.435.825.250|C16.320.565.189.435.825.250|C16.320.565.398.641.803.325|C16.320.565.595.554.825.250|C18.452.132.100.435.825.250|C18.452.584.563.641.803.325|C18.452.648.189.435.825.250|C18.452.648.398.641.803.325|C18.452.648.595.554.825.250
D055589	Pancreatitis, Graft	C06.689.750.860
D055613	Multiple Pulmonary Nodules	C04.588.894.797.520.237|C08.381.540.148|C08.785.520.148
D055622	Orbital Myositis	C05.651.594.728|C10.668.491.562.537|C11.675.426
D055623	Keratosis, Actinic	C04.834.450|C17.800.428.570
D055652	Gray Platelet Syndrome	C15.378.140.427|C16.320.099.417
D055653	Muir-Torre Syndrome	C04.588.805.578.500|C04.700.250.500.500|C16.320.700.250.500.500|C17.800.794.712.500|C17.800.827.610|C17.800.882.712.500
D055665	Purpura Fulminans	C15.378.100.802.230|C23.550.414.950.230|C23.888.885.687.230
D055673	Acrocallosal Syndrome	C10.500.034.500|C16.131.666.034.500
D055677	Refeeding Syndrome	C18.654.521.687
D055728	Primary Myelofibrosis	C15.378.190.636.765
D055732	Pulmonary Aspergillosis	C01.150.703.080.768|C01.150.703.534.850|C08.381.472.850
D055744	Invasive Pulmonary Aspergillosis	C01.150.703.080.768.750|C01.150.703.492.688|C01.150.703.534.850.750|C08.381.472.850.750
D055752	Small Cell Lung Carcinoma	C04.588.894.797.520.109.220.624|C08.381.540.140.750|C08.785.520.100.220.750
D055756	Meningeal Carcinomatosis	C04.588.614.250.580.150|C10.551.240.500.150
D055761	Reticuloendotheliosis, Avian	C01.925.744|C22.131.780
D055847	Lynch Syndrome II	C04.700.250.500|C16.320.700.250.500
D055882	Nevus, Halo	C04.557.665.560.580
D055947	Loeys-Dietz Syndrome	C05.660.207.532|C14.907.055.239.587|C14.907.109.139.587|C16.131.077.537|C16.320.510
D055948	Sarcopenia	C10.597.613.612.500|C23.300.070.500.500|C23.888.592.608.612.500
D055949	Vasa Previa	C12.050.703.420.952
D055952	Cogan Syndrome	C10.292.910.299|C11.180|C14.907.940.320
D055953	Microscopic Polyangiitis	C10.228.140.300.275.600|C14.907.253.329.600|C14.907.940.897.249.500|C17.800.862.105.750|C20.111.193.750
D055954	Corneal Endothelial Cell Loss	C11.204.278|C11.300.250|C23.550.767.093|C23.888.307.250
D055955	Susac Syndrome	C09.218.855|C10.228.140.300.787|C10.597.825|C11.768.400.500|C11.966.858|C14.907.137.780.500|C23.888.307.750|C23.888.592.848
D055956	Diffuse Neurofibrillary Tangles with Calcification	C10.228.140.380.254|C10.574.945.374|F03.615.400.370
D055958	Piriformis Muscle Syndrome	C10.668.829.500.675.399|C10.668.829.550.500|C10.668.829.600.675|C23.888.592.612.664.675|C23.888.592.612.944.750
D055959	Intervertebral Disc Degeneration	C05.116.900.153
D055963	Asthma, Aspirin-Induced	C08.127.108.054|C08.674.095.054|C20.543.480.149|C25.100.468.189
D055964	Alien Limb Phenomenon	C10.597.606.881.350.099|C23.888.592.604.882.350.099|F01.700.875.350.099
D055985	Latent Tuberculosis	C01.150.252.410.040.552.846.122|C01.550.500
D056005	Leprosy, Paucibacillary	C01.150.252.410.040.552.475.371.850
D056006	Leprosy, Multibacillary	C01.150.252.410.040.552.475.371.775
D056104	Commotio Cordis	C14.280.067.441|C26.891.375.750.500|C26.974.250.875.500
D056124	Slit Ventricle Syndrome	C23.550.767.884|C23.888.592.612.441.500
D056128	Obesity, Abdominal	C18.654.726.750.500.615|C23.888.144.699.500.063
D056146	Corpse Dismemberment	C23.550.260.224.200|C26.986.111|I01.198.240.194
D056150	Acute Generalized Exanthematous Pustulosis	C17.800.174.600.174|C20.543.418.075|C25.100.468.380.174
D056151	Airway Remodeling	C23.300.017|G09.772.029
D056266	Erythrokeratodermia Variabilis	C16.320.850.337|C17.800.229.606|C17.800.428.304|C17.800.827.337
D056267	Pagetoid Reticulosis	C04.557.386.480.750.800.550.600|C15.604.515.569.480.750.800.550.600|C20.683.515.761.480.750.800.550.600
D056304	Genu Valgum	C05.116.482
D056305	Genu Varum	C05.116.511
D056364	Colloid Cysts	C04.182.199|C04.588.614.250.387.200|C10.500.142.200|C10.551.240.375.200|C16.131.666.142.200
D056486	Chemical and Drug Induced Liver Injury	C06.552.100|C25.100.562|C25.723.260
D056487	Chemical and Drug Induced Liver Injury, Chronic	C06.552.100.200|C23.550.291.500.266|C25.100.562.200|C25.723.260.200
D056586	Acute Chest Syndrome	C08.381.074|C08.618.009|C15.378.050.141.150.150.219|C15.378.420.155.219|C16.320.070.150.219|C16.320.365.155.219
D056587	Cryopyrin-Associated Periodic Syndromes	C16.320.382.500|C17.800.827.368.500|C17.800.862.945.533.500.500|C17.800.862.945.766.500|C20.543.480.904.533.500.500|C20.543.480.904.766.500|C23.550.291.500.360.500.500
D056627	Peritoneal Fibrosis	C06.844.610|C23.550.355.625
D056647	Systemic Vasculitis	C14.907.940.897
D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis	C14.907.940.897.249|C17.800.862.105|C20.111.193
D056650	Vulvodynia	C12.050.351.500.944.951|C12.100.250.944.951
D056653	Rheumatoid Vasculitis	C05.550.114.154.728|C05.799.114.728|C14.907.940.897.750|C17.300.775.099.728|C20.111.199.581
D056660	Hereditary Autoinflammatory Diseases	C16.320.382|C17.800.827.368
D056684	Yellow Nail Syndrome	C16.320.962|C17.800.529.819|C17.800.621.968|C23.300.820.500
D056685	Costello Syndrome	C05.660.207.219|C16.131.077.256|C16.320.188
D056693	Propionic Acidemia	C16.320.565.100.823|C18.452.648.100.823
D056725	von Willebrand Disease, Type 1	C15.378.100.100.900.100|C15.378.100.141.900.100|C15.378.463.920.100|C16.320.099.920.100
D056728	von Willebrand Disease, Type 2	C15.378.100.100.900.200|C15.378.100.141.900.200|C15.378.463.920.200|C16.320.099.920.200
D056729	von Willebrand Disease, Type 3	C15.378.100.100.900.300|C15.378.100.141.900.300|C15.378.463.920.300|C16.320.099.920.300
D056730	Silver-Russell Syndrome	C05.660.207.925|C16.131.077.855|C16.131.260.870|C16.320.180.870|C16.320.240.937|C16.320.447.750
D056731	Donohue Syndrome	C05.660.207.325|C16.131.077.313|C16.320.215|C18.452.394.750.654|C19.246.537
D056732	Prolidase Deficiency	C16.131.077.735|C16.131.831.720|C16.320.565.100.794|C16.320.850.746
D056733	Carney Complex	C04.557.450.565.550.312|C04.588.894.309.500|C14.280.459.500|C16.131.077.229|C16.131.831.108
D056734	Monilethrix	C16.131.077.592|C16.320.850.647|C17.800.329.984|C17.800.827.602
D056735	Autoimmune Lymphoproliferative Syndrome	C15.604.515.138|C16.320.089|C20.111.288|C20.683.515.124
D056768	Giant Axonal Neuropathy	C10.500.300.490|C10.574.500.495.490|C10.668.829.325|C10.668.829.800.300.490|C16.131.666.300.490|C16.320.400.375.490
D056769	Alstrom Syndrome	C10.500.300.099|C10.574.500.495.099|C10.668.829.800.300.099|C11.270.684.249|C16.131.077.245.063|C16.131.666.300.099|C16.320.184.063|C16.320.290.684.249|C16.320.400.375.099
D056770	Netherton Syndrome	C16.131.077.619|C16.131.831.512.400.705|C16.320.850.673|C16.614.492.400.705|C17.800.428.333.250.705|C17.800.804.512.400.705|C17.800.827.655
D056784	Leukoencephalopathies	C10.228.140.695
D056806	Urea Cycle Disorders, Inborn	C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937
D056807	Argininosuccinic Aciduria	C10.228.140.163.100.937.124|C16.320.565.100.940.124|C16.320.565.189.937.124|C18.452.132.100.937.124|C18.452.648.100.940.124|C18.452.648.189.937.124
D056824	Upper Extremity Deep Vein Thrombosis	C14.907.355.830.925.885
D056828	Hereditary Angioedema Type III	C14.907.079.500.500|C17.800.862.945.066.500.500|C20.543.480.904.066.500.500
D056829	Hereditary Angioedema Types I and II	C14.907.079.500.750|C17.800.862.945.066.500.750|C20.543.480.904.066.500.750
D056830	Isolated Noncompaction of the Ventricular Myocardium	C14.240.400.660|C14.280.238.281.500|C14.280.400.660|C16.131.077.477|C16.131.240.400.655|C16.320.322.370
D056833	Central Serous Chorioretinopathy	C11.768.175
D056844	Renal Colic	C23.888.592.612.972|C23.888.721|F02.830.816.444.850|G11.561.790.444.850
D056846	Weill-Marchesani Syndrome	C05.116.099.343.957|C11.270.921|C16.131.077.941|C16.320.290.842|C17.300.899
D056886	Contrecoup Injury	C10.900.300.350.300.250|C26.224|C26.915.300.450.500.250|C26.974.382.200.250
D056887	Pelvic Organ Prolapse	C23.300.842.624
D056889	Barth Syndrome	C14.240.400.172|C14.280.400.172|C16.131.077.121|C16.131.240.400.172|C16.320.322.068|C16.320.565.398.224|C18.452.584.563.224|C18.452.648.398.224
D056929	Liddle Syndrome	C12.050.351.968.419.815.683|C12.200.777.419.815.683|C12.950.419.815.683|C16.320.831.698
D056986	Euglenozoa Infections	C01.610.752.300
D056987	Vasoplegia	C14.907.946|C23.550.767.962
D056988	Anterior Wall Myocardial Infarction	C14.280.647.500.093|C14.907.585.500.093|C23.550.513.355.750.093|C23.550.717.489.750.093
D056989	Inferior Wall Myocardial Infarction	C14.280.647.500.187|C14.907.585.500.187|C23.550.513.355.750.187|C23.550.717.489.750.187
D057045	Laryngopharyngeal Reflux	C06.405.117.119.500.484.500|C08.360.577
D057049	Thrombotic Microangiopathies	C15.378.140.855.925|C15.378.243.937.925
D057066	Low Tension Glaucoma	C11.525.381.703|C11.640.225
D057068	Periprosthetic Fractures	C26.404.550
D057072	Intra-Articular Fractures	C26.404.505
D057085	Tooth Wear	C07.793.818
D057088	Anetoderma	C17.300.116|C17.800.804.108
D057090	Eccrine Porocarcinoma	C04.557.470.200.025.500
D057091	Poroma	C04.557.470.035.175.588|C04.557.470.550.175.588
D057092	Geographic Atrophy	C11.768.585.439.122
D057096	Shellfish Poisoning	C25.723.415.792
D057108	Corneal Wavefront Aberration	C11.204.431|C11.744.345
D057112	Corneal Perforation	C10.900.300.284.250.124.500|C11.204.284.500|C11.297.374.500|C26.915.300.425.250.124.500
D057129	Iridocorneal Endothelial Syndrome	C11.204.497|C11.941.375.322
D057130	Leber Congenital Amaurosis	C11.270.516|C11.768.364
D057135	Wet Macular Degeneration	C11.768.585.439.622
D057165	Proteostasis Deficiencies	C18.452.845
D057174	Frontotemporal Lobar Degeneration	C10.228.140.380.266|C10.574.950.300|C18.452.845.800.300|F03.615.400.380
D057177	TDP-43 Proteinopathies	C10.574.950|C18.452.845.800
D057178	Primary Progressive Nonfluent Aphasia	C10.228.140.380.132.600|C10.228.140.380.266.600|C10.574.950.300.600|C10.597.606.150.500.800.100.155.600|C18.452.845.800.300.600|C23.888.592.604.150.500.800.100.155.600|F03.615.400.125.600|F03.615.400.380.600
D057180	Frontotemporal Dementia	C10.228.140.380.266.299|C10.574.950.300.299|C18.452.845.800.300.299|F03.615.400.380.299
D057667	Conducted Energy Weapon Injuries	C26.324.436
D057765	Eosinophilic Esophagitis	C06.405.117.620.209|C06.405.205.663.209|C15.378.553.231.341|C20.543.480.356
D057767	Kashin-Beck Disease	C05.116.099.708.534
D057768	Brief, Resolved, Unexplained Event	C08.618.846.600|C23.888.248.500|C23.888.852.700
D057770	Hyaline Fibromatosis Syndrome	C16.320.850.368|C17.800.827.384
D057772	Vascular System Injuries	C14.907.937|C26.940
D057774	Post-Exercise Hypotension	C10.177.575.600.537|C14.907.514.611
D057792	Mirizzi Syndrome	C06.130.120.135.812
D057826	Vitelliform Macular Dystrophy	C11.768.585.439.433|C16.320.290.763
D057831	Lemierre Syndrome	C01.150.252.400.388.350.700|C07.550.174|C09.775.262|C14.907.355.830.925.770.500|C14.907.617.718.788.500|C14.907.940.740.910.500
D057851	Posterior Capsular Rupture, Ocular	C11.297.500
D057867	Endoleak	C14.907.055.501|C23.550.414.941.500|C23.550.767.850.500
D057868	Anastomotic Leak	C23.550.767.071
D057873	Peri-Implantitis	C07.465.714.282
D057885	Triploidy	C23.550.210.702.500|G05.365.590.175.677.500|G05.700.740.500
D057887	Overbite	C07.793.494.630.500
D057891	Tetraploidy	C23.550.210.702.249|G05.365.590.175.677.249|G05.700.740.249
D057896	Striae Distensae	C23.888.885.800
D057910	Implant Capsular Contracture	C23.550.470.251.500|C23.550.767.865.500
D057925	Femoracetabular Impingement	C05.550.384|C23.550.347
D057971	Anterior Capsular Rupture, Ocular	C11.297.249
D057973	Dent Disease	C12.050.351.968.419.815.364|C12.200.777.419.815.364|C12.950.419.815.364|C16.320.322.100|C16.320.831.271
D058065	Diabetic Cardiomyopathies	C14.280.238.235|C19.246.099.625
D058066	Digital Dermatitis	C01.150.252.819.180|C01.800.720.180|C17.800.838.765.180|C22.214
D058069	Neglected Diseases	C23.550.291.890
D058070	Asymptomatic Diseases	C23.550.291.187
D058088	Sarcoglycanopathies	C05.651.534.500.280.500|C08.618.923|C10.668.491.175.500.149.500|C14.280.238.812|C16.320.577.280.500
D058165	22q11 Deletion Syndrome	C05.660.207.103|C14.240.400.021|C14.280.400.044|C15.604.451.249|C16.131.077.019|C16.131.240.400.021|C16.131.260.019|C16.131.482.249|C16.131.621.207.103|C16.320.180.019|C19.642.482.500
D058186	Acute Kidney Injury	C12.050.351.968.419.780.050|C12.200.777.419.780.050|C12.950.419.780.050
D058225	Plaque, Amyloid	C23.300.821
D058226	Plaque, Atherosclerotic	C23.300.823
D058246	Prehypertension	C14.907.653
D058247	Loose Anagen Hair Syndrome	C17.800.329.937.122.348|C23.300.035.500
D058249	Birt-Hogg-Dube Syndrome	C04.700.212|C16.320.700.212
D058252	Necrobiotic Xanthogranuloma	C15.604.515.292.507|C17.300.200.495.772|C17.800.550.772|C18.452.584.750.487|C23.550.382.984
D058267	Flea Infestations	C01.610.858.211.250
D058285	Tungiasis	C01.610.858.211.250.800
D058288	Sister Mary Joseph's Nodule	C04.588.033.740
D058345	Asymptomatic Infections	C01.125|C23.550.291.187.500
D058365	Candidiasis, Invasive	C01.150.703.160.175|C01.150.703.492.500
D058387	Candidemia	C01.150.703.160.175.500|C01.150.703.492.500.500|C01.757.360.150|C23.550.470.790.500.360.150
D058405	Desmoplastic Small Round Cell Tumor	C04.557.450.795.315
D058426	Neointima	C23.550.722
D058429	Gnathostomiasis	C01.610.335.508.700.750.380
D058437	Hypertensive Retinopathy	C11.768.346|C14.907.489.815
D058442	Capsule Opacification	C11.510.245.500
D058447	Eye Pain	C11.300.500|C23.888.307.625|C23.888.592.612.316
D058456	Retinal Telangiectasis	C11.768.748|C14.907.823.502
D058457	Trichiasis	C11.338.912
D058489	46, XX Disorders of Sex Development	C12.050.351.875.253.064|C12.200.706.316.064|C12.800.316.064|C16.131.939.316.064|C19.391.119.064
D058490	Disorder of Sex Development, 46,XY	C12.050.351.875.253.096|C12.200.706.316.096|C12.800.316.096|C16.131.939.316.096|C19.391.119.096
D058494	Walker-Warburg Syndrome	C10.500.507.450.499.249.500|C11.270.881|C16.131.666.507.450.499.249.500|C16.320.577.750
D058495	Sotos Syndrome	C16.131.077.889|C16.131.260.905|C16.320.180.905
D058496	Smith-Magenis Syndrome	C10.281.900|C16.131.077.879|C16.131.260.887|C16.320.180.887
D058497	Fraser Syndrome	C05.116.099.370.894.819.428|C05.660.585.800.428|C05.660.906.819.428|C11.250.390|C12.050.351.875.397|C12.200.706.410|C12.800.410|C16.131.077.371|C16.131.384.442|C16.131.621.585.800.428|C16.131.621.906.819.428|C16.131.939.410
D058499	Retinal Dystrophies	C11.768.585.658
D058502	Pentalogy of Cantrell	C10.500.680.705|C16.131.077.696|C16.131.666.680.705
D058527	Enteropathy-Associated T-Cell Lymphoma	C04.557.386.480.750.099|C15.604.515.569.480.750.399|C20.683.515.761.480.750.199
D058529	Single Umbilical Artery	C14.240.850.976|C16.131.240.850.952
D058531	46, XX Testicular Disorders of Sex Development	C12.050.351.875.253.064.124|C12.200.706.316.064.124|C12.800.316.064.124|C16.131.939.316.064.124|C19.391.119.064.124
D058533	Sex Chromosome Disorders of Sex Development	C12.050.351.875.253.795|C12.200.706.316.795|C12.800.316.795|C16.131.260.830.835|C16.131.939.316.795|C16.320.180.830.835|C19.391.119.795
D058535	Echogenic Bowel	C12.050.703.277.050|C16.300.050
D058536	Pyelectasis	C12.050.703.277.838|C16.131.939.831|C16.300.895
D058540	Aicardi Syndrome	C10.500.034.687|C11.270.019|C16.131.162|C16.131.666.034.687|C16.320.290.019|C16.320.322.030
D058545	Inhalant Abuse	C25.775.467|F03.900.467
D058565	Cerebral Ventriculitis	C01.207.245.169|C10.228.140.430.249|C10.228.228.245.169|C10.586.250.249
D058566	Sacroiliitis	C05.550.114.854
D058568	Necrolytic Migratory Erythema	C17.800.551|C23.888.885.468
D058606	Accessory Atrioventricular Bundle	C23.300.190
D058617	Composite Lymphoma	C04.557.386.150|C04.557.435.295|C15.604.515.569.150|C20.683.515.761.150
D058625	End Stage Liver Disease	C06.552.308.500.177
D058627	Megalencephaly	C05.660.207.536|C10.500.507.400.249|C16.131.621.207.532|C16.131.666.507.400.249
D058631	Pycnodysostosis	C05.116.099.708.779|C16.320.565.595.800|C16.320.812|C18.452.648.595.800
D058670	Tetrasomy	C23.550.210.050.625|C23.550.210.182.249|G05.365.590.175.050.625|G05.365.590.175.183.249|G05.700.131.625
D058674	Chromosome Duplication	C23.550.210.182|G05.365.590.175.183|G05.558.164
D058686	Coronary-Subclavian Steal Syndrome	C14.280.647.250.647|C14.907.585.250.647|C23.550.767.115
D058687	Out-of-Hospital Cardiac Arrest	C14.280.383.610
D058729	Peripheral Arterial Disease	C14.907.137.126.307.500|C14.907.617.671
D058734	Exsanguination	C23.550.414.734
D058736	Intrauterine Device Migration	C26.392.500.500|E05.325.578
D058739	Aberrant Crypt Foci	C04.834.020
D058745	Iliotibial Band Syndrome	C26.558.554.425|C26.844.150.425
D058747	CHARGE Syndrome	C09.218.458.341.186.500.250|C10.597.751.418.341.186.500.250|C10.597.751.941.162.625.250|C11.270.147.500|C11.966.075.375.250|C16.131.077.299.250|C16.320.165|C23.888.592.763.393.341.186.500.500|C23.888.592.763.941.162.625.500
D058866	Osteoporotic Fractures	C26.404.545
D058890	Granulomatous Mastitis	C12.050.703.844.603.400|C17.800.090.968.400
D058922	Inflammatory Breast Neoplasms	C04.588.180.576|C17.800.090.500.576
D058923	Medial Tibial Stress Syndrome	C05.651.426|C10.668.491.087|C26.558.705
D058926	Intraoperative Awareness	C23.550.505.400
D058968	Pythiosis	C01.610.701.844|C22.761
D059041	Plagiocephaly	C05.660.207.707|C16.131.621.207.707
D059226	Nociceptive Pain	C23.888.592.612.720
D059228	Renal Nutcracker Syndrome	C12.050.351.968.419.787|C12.200.777.419.787|C12.950.419.787
D059245	Transient Tachypnea of the Newborn	C08.381.840.500.737|C08.618.840.500.737|C08.618.961.500|C16.614.521.563.737|C23.888.852.944.500
D059246	Tachypnea	C08.618.961|C23.888.852.944
D059249	Otomycosis	C01.150.703.658|C09.218.736
D059265	Visceral Pain	C23.888.592.612.720.500
D059266	Bisphosphonate-Associated Osteonecrosis of the Jaw	C05.116.852.087|C05.500.086|C07.320.086|C23.550.717.732.183
D059268	Atrophic Vaginitis	C12.050.351.500.894.906.316|C12.100.250.894.906.316
D059269	Chilaiditi Syndrome	C06.405.469.158.093
D059270	Petrositis	C01.160.495.750|C05.116.165.495.500|C09.218.705.663.841
D059325	Intra-Abdominal Hypertension	C05.651.180.297|C14.907.303.297
D059327	Brachydactyly	C05.660.585.262|C16.131.621.585.262
D059345	Cerebral Small Vessel Diseases	C10.228.140.300.275|C14.907.253.329
D059347	Cardio-Renal Syndrome	C12.050.351.968.419.780.400|C12.200.777.419.780.400|C12.950.419.780.400|C14.280.434.156
D059348	Peripheral Nerve Injuries	C10.668.829.712|C10.900.575|C26.915.650
D059350	Chronic Pain	C23.888.592.612.274
